PassengerId,Survived
707,1
737,0
370,1
133,0
415,1
68,0
692,1
360,1
675,0
268,1
801,0
668,0
84,0
94,0
472,0
65,0
125,0
316,1
69,1
880,1
260,1
430,1
167,1
561,0
305,0
862,0
566,0
729,0
324,1
731,1
860,0
303,0
683,0
310,1
529,0
342,1
388,1
62,1
621,0
45,1
770,0
636,1
20,1
231,1
788,0
389,0
598,0
186,0
491,0
359,1
555,1
420,0
674,1
589,0
779,0
540,1
625,0
786,0
64,0
239,0
160,0
879,0
655,0
335,1
447,1
250,0
405,0
187,1
578,1
839,1
541,1
734,0
35,0
363,0
767,0
213,0
19,0
173,1
713,1
719,0
751,1
301,1
263,0
282,0
600,1
152,1
498,0
613,1
368,1
354,0
663,0
748,1
807,0
850,1
704,0
694,0
70,0
411,0
721,1
486,0
147,1
279,0
104,0
764,1
182,0
610,1
381,1
471,0
665,1
698,1
376,1
504,0
745,1
651,0
207,0
715,0
464,0
402,0
199,1
247,0
710,1
42,0
243,0
159,0
277,0
868,0
78,0
256,1
338,1
267,0
162,1
353,0
238,1
654,1
783,0
817,0
391,1
142,1
568,0
799,0
273,1
172,0
623,1
148,0
482,0
545,0
38,0
806,0
221,1
809,0
40,1
358,0
725,1
787,1
202,0
201,0
392,1
574,1
29,1
852,0
714,0
419,0
818,0
836,1
189,0
494,0
291,1
816,0
520,0
441,1
332,0
468,0
833,0
145,0
803,1
296,0
755,1
341,1
582,1
351,0
309,0
635,0
500,0
642,1
834,0
831,1
527,1
634,0
399,0
506,0
453,0
27,0
548,1
738,1
877,0
163,0
805,1
682,1
641,0
390,1
306,1
326,1
732,0
136,0
280,1
726,0
543,0
185,1
192,0
90,0
126,1
609,1
299,1
444,1
835,0
667,0
851,0
485,1
229,0
669,0
123,0
796,0
501,0
57,1
793,0
82,1
661,1
361,0
717,1
364,0
139,0
461,1
492,0
135,0
849,0
479,0
294,0
870,1
284,1
413,1
318,0
470,1
699,0
357,1
93,0
224,0
685,0
709,1
83,1
854,1
417,1
607,0
169,0
483,0
302,1
423,0
723,0
34,0
400,1
144,0
101,0
695,0
340,0
889,0
183,0
544,1
673,0
716,0
780,1
823,0
262,1
329,1
497,1
49,0
577,1
17,0
859,1
13,0
608,1
812,0
290,1
616,1
730,0
848,0
53,1
562,0
790,0
530,0
794,0
227,1
539,0
347,1
846,0
772,0
211,0
79,1
319,1
59,1
121,0
455,0
814,0
312,1
323,1
274,0
647,0
890,1
293,0
601,1
841,0
426,0
736,0
87,0
271,0
424,0
564,0
210,1
556,0
393,0
16,1
22,1
254,0
595,0
71,0
122,0
374,0
460,0
448,1
452,0
804,1
750,0
795,0
336,0
63,0
754,0
140,0
888,1
435,0
156,0
39,0
588,1
434,0
815,0
379,0
593,0
385,0
100,0
708,1
9,1
31,0
281,0
618,0
286,0
288,0
740,0
248,1
691,1
99,1
512,0
503,0
234,1
637,0
73,0
581,1
431,1
412,0
575,0
528,0
521,1
345,0
761,0
567,0
650,1
146,0
446,1
198,0
23,1
5,0
533,0
477,0
653,0
487,1
96,0
89,1
188,1
687,0
507,1
251,0
639,0
476,0
763,1
119,0
174,0
585,0
768,0
646,1
225,1
510,1
249,1
348,1
149,0
52,0
10,1
871,0
322,0
518,0
102,0
656,0
800,0
777,0
478,0
232,0
614,0
366,0
436,1
120,0
222,0
151,0
488,0
820,0
480,1
778,1
454,1
611,0
298,0
457,0
117,0
517,1
775,1
113,0
429,0
689,0
334,0
463,0
307,1
652,1
605,1
473,1
774,0
339,1
633,1
594,0
375,0
244,0
330,1
398,0
882,0
676,0
640,0
196,1
606,0
659,0
313,0
176,0
462,0
571,1
627,0
489,0
6,0
875,1
584,0
43,0
537,0
711,1
46,0
842,0
677,0
798,1
844,0
746,0
191,1
781,1
733,0
643,0
458,1
304,1
769,0
662,0
612,0
269,1
526,0
853,0
427,1
106,0
760,1
371,1
580,1
217,1
11,1
111,0
4,1
372,0
826,0
583,0
325,0
383,0
808,0
367,1
362,0
266,0
664,0
718,1
684,0
569,0
355,0
467,0
80,1
178,0
631,1
828,1
587,0
14,0
219,1
864,0
349,1
576,0
869,0
702,1
259,1
810,1
757,0
712,0
200,0
773,0
206,0
75,1
792,0
118,0
194,1
557,1
703,0
546,0
180,0
67,1
28,0
542,0
515,0
130,0
876,1
12,1
138,0
255,0
384,1
821,1
511,1
829,1
440,0
861,0
858,1
350,0
261,0
886,0
538,1
212,1
603,0
671,1
44,1
241,0
41,0
670,1
514,1
128,1
490,1
619,1
602,0
443,0
114,0
333,0
776,0
465,0
838,0
265,0
789,1
579,0
758,0
638,0
26,1
474,1
678,1
179,0
469,0
696,0
154,0
771,0
827,0
570,1
15,0
509,0
856,1
54,1
878,0
150,0
433,1
534,1
132,0
166,1
37,1
722,0
481,0
706,0
25,0
103,0
317,1
519,1
648,1
743,1
597,1
847,0
550,1
406,0
264,0
297,0
857,1
314,0
270,1
181,0
32,1
552,0
449,1
523,0
666,0
272,1
739,0
572,1
